# N,  zmet, start, trunc, tau, theta 
       269  0.010  1.000 5.0000  9.000 -1.730
       270  0.010  1.000 5.0000  9.000 -5.660
       271  0.010  1.000 7.0000  0.300 -1.000
       272  0.010  1.000 7.0000  0.300 -1.730
       273  0.010  1.000 7.0000  0.300 -5.660
       274  0.010  1.000 7.0000  0.700 -1.000
       275  0.010  1.000 7.0000  0.700 -1.730
       276  0.010  1.000 7.0000  0.700 -5.660
       277  0.010  1.000 7.0000  1.000 -1.000
       278  0.010  1.000 7.0000  1.000 -1.730
       279  0.010  1.000 7.0000  1.000 -5.660
       280  0.010  1.000 7.0000  1.300 -1.000
       281  0.010  1.000 7.0000  1.300 -1.730
       282  0.010  1.000 7.0000  1.300 -5.660
       283  0.010  1.000 7.0000  2.000 -1.000
       284  0.010  1.000 7.0000  2.000 -1.730
       285  0.010  1.000 7.0000  2.000 -5.660
       286  0.010  1.000 7.0000  9.000 -1.000
       287  0.010  1.000 7.0000  9.000 -1.730
       288  0.010  1.000 7.0000  9.000 -5.660
       289  0.010  1.000 9.0000  0.300 -1.000
       290  0.010  1.000 9.0000  0.300 -1.730
       291  0.010  1.000 9.0000  0.300 -5.660
       292  0.010  1.000 9.0000  0.700 -1.000
       293  0.010  1.000 9.0000  0.700 -1.730
       294  0.010  1.000 9.0000  0.700 -5.660
       295  0.010  1.000 9.0000  1.000 -1.000
       296  0.010  1.000 9.0000  1.000 -1.730
       297  0.010  1.000 9.0000  1.000 -5.660
       298  0.010  1.000 9.0000  1.300 -1.000
       299  0.010  1.000 9.0000  1.300 -1.730
       300  0.010  1.000 9.0000  1.300 -5.660
       301  0.010  1.000 9.0000  2.000 -1.000
       302  0.010  1.000 9.0000  2.000 -1.730
       303  0.010  1.000 9.0000  2.000 -5.660
       304  0.010  1.000 9.0000  9.000 -1.000
       305  0.010  1.000 9.0000  9.000 -1.730
       306  0.010  1.000 9.0000  9.000 -5.660
       307  0.010  1.000 11.0000  0.300 -1.000
       308  0.010  1.000 11.0000  0.300 -1.730
       309  0.010  1.000 11.0000  0.300 -5.660
       310  0.010  1.000 11.0000  0.700 -1.000
       311  0.010  1.000 11.0000  0.700 -1.730
       312  0.010  1.000 11.0000  0.700 -5.660
       313  0.010  1.000 11.0000  1.000 -1.000
       314  0.010  1.000 11.0000  1.000 -1.730
       315  0.010  1.000 11.0000  1.000 -5.660
       316  0.010  1.000 11.0000  1.300 -1.000
       317  0.010  1.000 11.0000  1.300 -1.730
       318  0.010  1.000 11.0000  1.300 -5.660
       319  0.010  1.000 11.0000  2.000 -1.000
       320  0.010  1.000 11.0000  2.000 -1.730
       321  0.010  1.000 11.0000  2.000 -5.660
       322  0.010  1.000 11.0000  9.000 -1.000
       323  0.010  1.000 11.0000  9.000 -1.730
       324  0.010  1.000 11.0000  9.000 -5.660
       325  0.010  1.000 13.0000  0.300 -1.000
       326  0.010  1.000 13.0000  0.300 -1.730
       327  0.010  1.000 13.0000  0.300 -5.660
       328  0.010  1.000 13.0000  0.700 -1.000
       329  0.010  1.000 13.0000  0.700 -1.730
       330  0.010  1.000 13.0000  0.700 -5.660
       331  0.010  1.000 13.0000  1.000 -1.000
       332  0.010  1.000 13.0000  1.000 -1.730
       333  0.010  1.000 13.0000  1.000 -5.660
       334  0.010  1.000 13.0000  1.300 -1.000
       335  0.010  1.000 13.0000  1.300 -1.730
       336  0.010  1.000 13.0000  1.300 -5.660
       337  0.010  1.000 13.0000  2.000 -1.000
       338  0.010  1.000 13.0000  2.000 -1.730
       339  0.010  1.000 13.0000  2.000 -5.660
       340  0.010  1.000 13.0000  9.000 -1.000
       341  0.010  1.000 13.0000  9.000 -1.730
       342  0.010  1.000 13.0000  9.000 -5.660
       343  0.010  3.000 7.0000  0.300 -1.000
       344  0.010  3.000 7.0000  0.300 -1.730
       345  0.010  3.000 7.0000  0.300 -5.660
       346  0.010  3.000 7.0000  0.700 -1.000
       347  0.010  3.000 7.0000  0.700 -1.730
       348  0.010  3.000 7.0000  0.700 -5.660
       349  0.010  3.000 7.0000  1.000 -1.000
       350  0.010  3.000 7.0000  1.000 -1.730
       351  0.010  3.000 7.0000  1.000 -5.660
       352  0.010  3.000 7.0000  1.300 -1.000
       353  0.010  3.000 7.0000  1.300 -1.730
       354  0.010  3.000 7.0000  1.300 -5.660
       355  0.010  3.000 7.0000  2.000 -1.000
       356  0.010  3.000 7.0000  2.000 -1.730
       357  0.010  3.000 7.0000  2.000 -5.660
       358  0.010  3.000 7.0000  9.000 -1.000
       359  0.010  3.000 7.0000  9.000 -1.730
       360  0.010  3.000 7.0000  9.000 -5.660
       361  0.010  3.000 9.0000  0.300 -1.000
       362  0.010  3.000 9.0000  0.300 -1.730
       363  0.010  3.000 9.0000  0.300 -5.660
       364  0.010  3.000 9.0000  0.700 -1.000
       365  0.010  3.000 9.0000  0.700 -1.730
       366  0.010  3.000 9.0000  0.700 -5.660
       367  0.010  3.000 9.0000  1.000 -1.000
       368  0.010  3.000 9.0000  1.000 -1.730
       369  0.010  3.000 9.0000  1.000 -5.660
       370  0.010  3.000 9.0000  1.300 -1.000
       371  0.010  3.000 9.0000  1.300 -1.730
       372  0.010  3.000 9.0000  1.300 -5.660
       373  0.010  3.000 9.0000  2.000 -1.000
       374  0.010  3.000 9.0000  2.000 -1.730
       375  0.010  3.000 9.0000  2.000 -5.660
       376  0.010  3.000 9.0000  9.000 -1.000
       377  0.010  3.000 9.0000  9.000 -1.730
       378  0.010  3.000 9.0000  9.000 -5.660
       379  0.010  3.000 11.0000  0.300 -1.000
       380  0.010  3.000 11.0000  0.300 -1.730
       381  0.010  3.000 11.0000  0.300 -5.660
       382  0.010  3.000 11.0000  0.700 -1.000
       383  0.010  3.000 11.0000  0.700 -1.730
       384  0.010  3.000 11.0000  0.700 -5.660
       385  0.010  3.000 11.0000  1.000 -1.000
       386  0.010  3.000 11.0000  1.000 -1.730
       387  0.010  3.000 11.0000  1.000 -5.660
       388  0.010  3.000 11.0000  1.300 -1.000
       389  0.010  3.000 11.0000  1.300 -1.730
       390  0.010  3.000 11.0000  1.300 -5.660
       391  0.010  3.000 11.0000  2.000 -1.000
       392  0.010  3.000 11.0000  2.000 -1.730
       393  0.010  3.000 11.0000  2.000 -5.660
       394  0.010  3.000 11.0000  9.000 -1.000
       395  0.010  3.000 11.0000  9.000 -1.730
       396  0.010  3.000 11.0000  9.000 -5.660
       397  0.010  3.000 13.0000  0.300 -1.000
       398  0.010  3.000 13.0000  0.300 -1.730
       399  0.010  3.000 13.0000  0.300 -5.660
       400  0.010  3.000 13.0000  0.700 -1.000
       401  0.010  3.000 13.0000  0.700 -1.730
       402  0.010  3.000 13.0000  0.700 -5.660
       403  0.010  3.000 13.0000  1.000 -1.000
       404  0.010  3.000 13.0000  1.000 -1.730
       405  0.010  3.000 13.0000  1.000 -5.660
       406  0.010  3.000 13.0000  1.300 -1.000
       407  0.010  3.000 13.0000  1.300 -1.730
       408  0.010  3.000 13.0000  1.300 -5.660
       409  0.010  3.000 13.0000  2.000 -1.000
       410  0.010  3.000 13.0000  2.000 -1.730
       411  0.010  3.000 13.0000  2.000 -5.660
       412  0.010  3.000 13.0000  9.000 -1.000
       413  0.010  3.000 13.0000  9.000 -1.730
       414  0.010  3.000 13.0000  9.000 -5.660
       415  0.010  5.000 9.0000  0.300 -1.000
       416  0.010  5.000 9.0000  0.300 -1.730
       417  0.010  5.000 9.0000  0.300 -5.660
       418  0.010  5.000 9.0000  0.700 -1.000
       419  0.010  5.000 9.0000  0.700 -1.730
       420  0.010  5.000 9.0000  0.700 -5.660
       421  0.010  5.000 9.0000  1.000 -1.000
       422  0.010  5.000 9.0000  1.000 -1.730
       423  0.010  5.000 9.0000  1.000 -5.660
       424  0.010  5.000 9.0000  1.300 -1.000
       425  0.010  5.000 9.0000  1.300 -1.730
       426  0.010  5.000 9.0000  1.300 -5.660
       427  0.010  5.000 9.0000  2.000 -1.000
       428  0.010  5.000 9.0000  2.000 -1.730
       429  0.010  5.000 9.0000  2.000 -5.660
       430  0.010  5.000 9.0000  9.000 -1.000
       431  0.010  5.000 9.0000  9.000 -1.730
       432  0.010  5.000 9.0000  9.000 -5.660
       433  0.010  5.000 11.0000  0.300 -1.000
       434  0.010  5.000 11.0000  0.300 -1.730
       435  0.010  5.000 11.0000  0.300 -5.660
       436  0.010  5.000 11.0000  0.700 -1.000
       437  0.010  5.000 11.0000  0.700 -1.730
       438  0.010  5.000 11.0000  0.700 -5.660
       439  0.010  5.000 11.0000  1.000 -1.000
       440  0.010  5.000 11.0000  1.000 -1.730
       441  0.010  5.000 11.0000  1.000 -5.660
       442  0.010  5.000 11.0000  1.300 -1.000
       443  0.010  5.000 11.0000  1.300 -1.730
       444  0.010  5.000 11.0000  1.300 -5.660
       445  0.010  5.000 11.0000  2.000 -1.000
       446  0.010  5.000 11.0000  2.000 -1.730
       447  0.010  5.000 11.0000  2.000 -5.660
       448  0.010  5.000 11.0000  9.000 -1.000
       449  0.010  5.000 11.0000  9.000 -1.730
       450  0.010  5.000 11.0000  9.000 -5.660
       451  0.010  5.000 13.0000  0.300 -1.000
       452  0.010  5.000 13.0000  0.300 -1.730
       453  0.010  5.000 13.0000  0.300 -5.660
       454  0.010  5.000 13.0000  0.700 -1.000
       455  0.010  5.000 13.0000  0.700 -1.730
       456  0.010  5.000 13.0000  0.700 -5.660
       457  0.010  5.000 13.0000  1.000 -1.000
       458  0.010  5.000 13.0000  1.000 -1.730
       459  0.010  5.000 13.0000  1.000 -5.660
       460  0.010  5.000 13.0000  1.300 -1.000
       461  0.010  5.000 13.0000  1.300 -1.730
       462  0.010  5.000 13.0000  1.300 -5.660
       463  0.010  5.000 13.0000  2.000 -1.000
       464  0.010  5.000 13.0000  2.000 -1.730
       465  0.010  5.000 13.0000  2.000 -5.660
       466  0.010  5.000 13.0000  9.000 -1.000
       467  0.010  5.000 13.0000  9.000 -1.730
       468  0.010  5.000 13.0000  9.000 -5.660
       469  0.010  7.000 11.0000  0.300 -1.000
       470  0.010  7.000 11.0000  0.300 -1.730
       471  0.010  7.000 11.0000  0.300 -5.660
       472  0.010  7.000 11.0000  0.700 -1.000
       473  0.010  7.000 11.0000  0.700 -1.730
       474  0.010  7.000 11.0000  0.700 -5.660
       475  0.010  7.000 11.0000  1.000 -1.000
       476  0.010  7.000 11.0000  1.000 -1.730
       477  0.010  7.000 11.0000  1.000 -5.660
       478  0.010  7.000 11.0000  1.300 -1.000
       479  0.010  7.000 11.0000  1.300 -1.730
       480  0.010  7.000 11.0000  1.300 -5.660
       481  0.010  7.000 11.0000  2.000 -1.000
       482  0.010  7.000 11.0000  2.000 -1.730
       483  0.010  7.000 11.0000  2.000 -5.660
       484  0.010  7.000 11.0000  9.000 -1.000
       485  0.010  7.000 11.0000  9.000 -1.730
       486  0.010  7.000 11.0000  9.000 -5.660
       487  0.010  7.000 13.0000  0.300 -1.000
       488  0.010  7.000 13.0000  0.300 -1.730
       489  0.010  7.000 13.0000  0.300 -5.660
       490  0.010  7.000 13.0000  0.700 -1.000
       491  0.010  7.000 13.0000  0.700 -1.730
       492  0.010  7.000 13.0000  0.700 -5.660
       493  0.010  7.000 13.0000  1.000 -1.000
       494  0.010  7.000 13.0000  1.000 -1.730
       495  0.010  7.000 13.0000  1.000 -5.660
       496  0.010  7.000 13.0000  1.300 -1.000
       497  0.010  7.000 13.0000  1.300 -1.730
       498  0.010  7.000 13.0000  1.300 -5.660
       499  0.010  7.000 13.0000  2.000 -1.000
       500  0.010  7.000 13.0000  2.000 -1.730
       501  0.010  7.000 13.0000  2.000 -5.660
       502  0.010  7.000 13.0000  9.000 -1.000
       503  0.010  7.000 13.0000  9.000 -1.730
       504  0.010  7.000 13.0000  9.000 -5.660
       505  0.019  1.000 5.0000  0.300 -1.000
       506  0.019  1.000 5.0000  0.300 -1.730
       507  0.019  1.000 5.0000  0.300 -5.660
       508  0.019  1.000 5.0000  0.700 -1.000
       509  0.019  1.000 5.0000  0.700 -1.730
       510  0.019  1.000 5.0000  0.700 -5.660
       511  0.019  1.000 5.0000  1.000 -1.000
       512  0.019  1.000 5.0000  1.000 -1.730
       513  0.019  1.000 5.0000  1.000 -5.660
       514  0.019  1.000 5.0000  1.300 -1.000
       515  0.019  1.000 5.0000  1.300 -1.730
       516  0.019  1.000 5.0000  1.300 -5.660
       517  0.019  1.000 5.0000  2.000 -1.000
       518  0.019  1.000 5.0000  2.000 -1.730
       519  0.019  1.000 5.0000  2.000 -5.660
       520  0.019  1.000 5.0000  9.000 -1.000
       521  0.019  1.000 5.0000  9.000 -1.730
       522  0.019  1.000 5.0000  9.000 -5.660
       523  0.019  1.000 7.0000  0.300 -1.000
       524  0.019  1.000 7.0000  0.300 -1.730
       525  0.019  1.000 7.0000  0.300 -5.660
       526  0.019  1.000 7.0000  0.700 -1.000
       527  0.019  1.000 7.0000  0.700 -1.730
       528  0.019  1.000 7.0000  0.700 -5.660
       529  0.019  1.000 7.0000  1.000 -1.000
       530  0.019  1.000 7.0000  1.000 -1.730
       531  0.019  1.000 7.0000  1.000 -5.660
       532  0.019  1.000 7.0000  1.300 -1.000
       533  0.019  1.000 7.0000  1.300 -1.730
       534  0.019  1.000 7.0000  1.300 -5.660
       535  0.019  1.000 7.0000  2.000 -1.000
       536  0.019  1.000 7.0000  2.000 -1.730
       537  0.019  1.000 7.0000  2.000 -5.660
       538  0.019  1.000 7.0000  9.000 -1.000
       539  0.019  1.000 7.0000  9.000 -1.730
       540  0.019  1.000 7.0000  9.000 -5.660
       541  0.019  1.000 9.0000  0.300 -1.000
       542  0.019  1.000 9.0000  0.300 -1.730
       543  0.019  1.000 9.0000  0.300 -5.660
       544  0.019  1.000 9.0000  0.700 -1.000
       545  0.019  1.000 9.0000  0.700 -1.730
       546  0.019  1.000 9.0000  0.700 -5.660
       547  0.019  1.000 9.0000  1.000 -1.000
       548  0.019  1.000 9.0000  1.000 -1.730
       549  0.019  1.000 9.0000  1.000 -5.660
